time,mdot_hot,time(rounded),mdot_hot(rounded)
7.11E-15,10,0,10
20.67988669,9.950980392,20.68,9.951
30.59490085,11.42156863,30.59,11.422
46.45892351,12.84313725,46.46,12.843
64.87252125,13.28431373,64.87,13.284
90.08498584,13.38235294,90.08,13.382
95.4674221,9.166666667,95.47,9.167
96.60056657,8.62745098,96.6,8.627
104.5325779,7.745098039,104.53,7.745
116.713881,6.81372549,116.71,6.814
131.7280453,6.81372549,131.73,6.814
145.8923513,6.960784314,145.89,6.961
160.3399433,7.009803922,160.34,7.01
169.6883853,8.87254902,169.69,8.873
180.4532578,9.852941176,180.45,9.853
200.2832861,10.04901961,200.28,10.049
230.3116147,9.950980392,230.31,9.951
250.7082153,13.92156863,250.71,13.922
262.0396601,14.65686275,262.04,14.657
272.8045326,15.04901961,272.8,15.049
288.6685552,15.39215686,288.67,15.392
300,15.49019608,300,15.49
